vendor_id,question_id,answer
vendor-a,GOV-01,yes
vendor-a,GOV-02,partial
vendor-a,GOV-03,yes
vendor-a,GOV-04,yes
vendor-a,IAM-01,yes
vendor-a,IAM-02,yes
vendor-a,IAM-03,no
vendor-a,IAM-04,yes
vendor-a,DAT-01,yes
vendor-a,DAT-02,yes
vendor-a,DAT-03,yes
vendor-a,VUL-01,yes
vendor-a,VUL-02,yes
vendor-a,VUL-03,no
vendor-a,IR-01,yes
vendor-a,IR-02,yes
vendor-a,IR-03,yes
vendor-a,BCP-01,partial
vendor-a,BCP-02,partial
vendor-a,AWR-01,partial
vendor-a,TI-01,yes
vendor-a,CLD-01,yes
vendor-b,GOV-01,no
vendor-b,GOV-02,partial
vendor-b,GOV-03,yes
vendor-b,GOV-04,yes
vendor-b,IAM-01,yes
vendor-b,IAM-02,yes
vendor-b,IAM-03,yes
vendor-b,IAM-04,yes
vendor-b,DAT-01,partial
vendor-b,DAT-02,yes
vendor-b,DAT-03,yes
vendor-b,VUL-01,yes
vendor-b,VUL-02,yes
vendor-b,VUL-03,yes
vendor-b,IR-01,yes
vendor-b,IR-02,yes
vendor-b,IR-03,yes
vendor-b,BCP-01,yes
vendor-b,BCP-02,yes
vendor-b,AWR-01,yes
vendor-b,TI-01,yes
vendor-b,CLD-01,yes
vendor-c,GOV-01,yes
vendor-c,GOV-02,partial
vendor-c,GOV-03,yes
vendor-c,GOV-04,yes
vendor-c,IAM-01,partial
vendor-c,IAM-02,partial
vendor-c,IAM-03,yes
vendor-c,IAM-04,yes
vendor-c,DAT-01,yes
vendor-c,DAT-02,yes
vendor-c,DAT-03,partial
vendor-c,VUL-01,yes
vendor-c,VUL-02,partial
vendor-c,VUL-03,yes
vendor-c,IR-01,yes
vendor-c,IR-02,yes
vendor-c,IR-03,yes
vendor-c,BCP-01,yes
vendor-c,BCP-02,no
vendor-c,AWR-01,partial
vendor-c,TI-01,no
vendor-c,CLD-01,yes
vendor-d,GOV-01,yes
vendor-d,GOV-02,no
vendor-d,GOV-03,yes
vendor-d,GOV-04,yes
vendor-d,IAM-01,yes
vendor-d,IAM-02,yes
vendor-d,IAM-03,yes
vendor-d,IAM-04,yes
vendor-d,DAT-01,no
vendor-d,DAT-02,yes
vendor-d,DAT-03,yes
vendor-d,VUL-01,yes
vendor-d,VUL-02,partial
vendor-d,VUL-03,yes
vendor-d,IR-01,yes
vendor-d,IR-02,yes
vendor-d,IR-03,partial
vendor-d,BCP-01,yes
vendor-d,BCP-02,yes
vendor-d,AWR-01,no
vendor-d,TI-01,yes
vendor-d,CLD-01,yes
vendor-e,GOV-01,no
vendor-e,GOV-02,yes
vendor-e,GOV-03,yes
vendor-e,GOV-04,yes
vendor-e,IAM-01,yes
vendor-e,IAM-02,yes
vendor-e,IAM-03,yes
vendor-e,IAM-04,no
vendor-e,DAT-01,no
vendor-e,DAT-02,no
vendor-e,DAT-03,no
vendor-e,VUL-01,yes
vendor-e,VUL-02,partial
vendor-e,VUL-03,yes
vendor-e,IR-01,partial
vendor-e,IR-02,partial
vendor-e,IR-03,yes
vendor-e,BCP-01,no
vendor-e,BCP-02,yes
vendor-e,AWR-01,partial
vendor-e,TI-01,yes
vendor-e,CLD-01,yes
vendor-f,GOV-01,yes
vendor-f,GOV-02,yes
vendor-f,GOV-03,yes
vendor-f,GOV-04,yes
vendor-f,IAM-01,no
vendor-f,IAM-02,yes
vendor-f,IAM-03,yes
vendor-f,IAM-04,no
vendor-f,DAT-01,yes
vendor-f,DAT-02,yes
vendor-f,DAT-03,yes
vendor-f,VUL-01,yes
vendor-f,VUL-02,yes
vendor-f,VUL-03,yes
vendor-f,IR-01,yes
vendor-f,IR-02,yes
vendor-f,IR-03,yes
vendor-f,BCP-01,yes
vendor-f,BCP-02,partial
vendor-f,AWR-01,yes
vendor-f,TI-01,yes
vendor-f,CLD-01,yes
